Customer_ID,Satisfaction_Level,Recommend,Preferred_Channel
0,Low,Yes,Email
1,Medium,Yes,Email
2,High,Yes,Phone
3,Medium,Yes,Email
4,Medium,No,Email
5,Medium,No,Phone
6,Low,No,Email
7,High,No,Email
8,Low,Yes,Phone
9,Medium,Yes,Email
10,High,No,Email
11,Low,Yes,Phone
12,High,Yes,Email
13,Low,Yes,Phone
14,Medium,Yes,Email
15,High,No,Email
16,Medium,No,Phone
17,Medium,No,SMS
18,High,No,Phone
19,High,Yes,SMS
20,Low,No,SMS
21,Low,Yes,Email
22,Medium,No,Phone
23,Low,Yes,SMS
24,High,No,SMS
25,High,Yes,SMS
26,High,Yes,SMS
27,Medium,Yes,Phone
28,Low,Yes,Email
29,Low,Yes,Email
30,Low,Yes,SMS
31,Low,Yes,Email
32,Low,Yes,SMS
33,Low,Yes,Email
34,Low,No,Email
35,Medium,No,Phone
36,Low,No,SMS
37,Low,No,Phone
38,Low,No,Email
39,Medium,Yes,SMS
40,Low,No,SMS
41,Medium,No,SMS
42,Medium,Yes,SMS
43,Medium,No,SMS
44,High,No,SMS
45,Low,Yes,Email
46,High,No,SMS
47,Low,No,Email
48,Medium,Yes,Phone
49,Medium,Yes,Email
50,Low,Yes,Phone
51,Low,Yes,SMS
52,Medium,No,Email
53,Low,No,Email
54,Low,No,Email
55,High,Yes,Phone
56,Medium,No,SMS
57,High,Yes,Email
58,Medium,No,Phone
59,High,Yes,Email
60,Low,No,Email
61,Low,No,Email
62,Medium,Yes,Email
63,Medium,Yes,Phone
64,Medium,Yes,SMS
65,High,No,SMS
66,Medium,No,Email
67,Low,Yes,Phone
68,Medium,Yes,SMS
69,Low,Yes,SMS
70,High,Yes,Email
71,Low,No,Email
72,Low,Yes,Phone
73,High,Yes,SMS
74,Low,No,Email
75,High,No,Phone
76,High,Yes,Phone
77,High,No,Phone
78,Low,Yes,SMS
79,High,No,SMS
80,Medium,No,SMS
81,Low,Yes,Phone
82,Low,No,Phone
83,Medium,Yes,Email
84,Medium,Yes,Email
85,Medium,No,SMS
86,Medium,No,SMS
87,High,Yes,Email
88,Low,No,SMS
89,Low,No,Email
90,Medium,No,Email
91,High,Yes,Email
92,High,No,Phone
93,Medium,No,SMS
94,Medium,Yes,Phone
95,Medium,No,SMS
96,Medium,Yes,Phone
97,High,Yes,SMS
98,Low,Yes,SMS
99,High,Yes,Email
